,Rank
Hourstonius vilordes,species
Hyalella azteca,species
Hyalidae,family
Hyalinoecia juvenalis,species
Hydractinia,genus
Hydroides,genus
Hydroides elegans,species
Hydrozoa,class
Idanthyrsus,genus
Idotea,genus
Ingolfiellidae,family
Insecta,class
Irusella lamellifera,species
Isaeidae,family
Ischnochitonidae,family
Ischyroceridae,family
Ischyrocerus,genus
Ischyrocerus anguipes,species
Ischyrocerus pelagops,species
Isocheles pilosus,species
Isocirrus longiceps,species
Isopoda,order
Janiralata,genus
Janiralata occidentalis,species
Janiridae,family
Jasmineira,genus
Jassa,genus
Jassa slatteryi,species
Jassa staudei,species
Joeropsididae,family
Joeropsis dubia,species
Keenaea centifilosa,species
Kelletia kelletii,species
Kellia suborbicularis,species
Kirkegaardia,genus
Kirkegaardia cryptica,species
Kirkegaardia serratiseta,species
Kirkegaardia siblina,species
Kurtiella,genus
Kurtiella tumida,species
Kurtzia arteaga,species
Kurtziella plumbea,species
Kurtzina beta,species
Lacuna,genus
Lacuna unifasciata,species
Lacydonia,genus
Lampropidae,family
Lanassa,genus
Lanassa gracilis,species
Lanassa venusta venusta,subspecies
Lanice conchilega,species
Laomedea calceolifera,species
Laonice,genus
Laonice cirrata,species
Laonice nuchala,species
Laphania,genus
Laphania boecki,species
Lasaeidae,family
Laticorophium baconi,species
Latocestidae,family
Latulambrus occidentalis,species
Leaena,genus
Lebbeus,genus
Ledella,genus
Leiochrides,genus
Leitoscoloplos,genus
Leitoscoloplos pugettensis,species
Lepidasthenia,genus
Lepidasthenia berkeleyae,species
Lepidasthenia longicirrata,species
Lepidepecreum garthi,species
Lepidepecreum gurjanovae,species
Lepidonotus,genus
Lepidopleurida,order
Lepidozona,genus
Lepidozona radians,species
Leptochelia,genus
Leptochiton,genus
Leptochiton nexus,species
Leptochiton rugatus,species
Leptognathiidae,family
Leptopecten latiauratus,species
Leptoplanidae,family
Leptostylis,genus
Leptostylis abditis,species
Leptosynapta,genus
Leucilla nuttingi,species
Leucon,genus
Leucon falcicosta,species
Leuconidae,family
Leucosolenia nautilia,species
Leucothoe nagatai,species
Leukoma,genus
Leukoma staminea,species
Leuroleberis sharpei,species
Levinsenia,genus
Levinsenia gracilis,species
Liljeborgia,genus
Liljeborgiidae,family
Limaria hemphilli,species
Limnactiniidae,family
Lineidae,family
Lineus,genus
Lineus bilineatus,species
Lineus flavescens,species
Lirobarleeia kelseyi,species
Lirobittium,genus
Listriella,genus
Listriella diffusa,species
Listriella eriopisa,species
Listriella goleta,species
Listriella melanica,species
Listriolobus,genus
Listriolobus pelodes,species
Littorina keenae,species
Loimia,genus
Lophopanopeus,genus
Lophopanopeus bellus,species
Lottia instabilis,species
Lovenia cordiformis,species
Loxorhynchus crispatus,species
Loxosomella,genus
Loy thompsoni,species
Lucinisca nuttalli,species
Lucinoma annulata,species
Luidia,genus
Luidia armata,species
Luidia asthenosoma,species
Luidia foliolata,species
Lumbrineridae,family
Lumbrinerides,genus
Lumbrineriopsis,genus
Lumbrineris,genus
Lumbrineris cingulata,species
Lumbrineris cruzensis,species
Lumbrineris inflata,species
Lumbrineris japonica,species
