,user_supplied_name,submitted_name,data_source_title,score,matched_name2
86,Chaetomorpha spp,Chaetomorpha spp,GBIF Backbone Taxonomy,0.75,Chaetomorpha
87,Chlamys rubida,Chlamys rubida,GBIF Backbone Taxonomy,0.988,Chlamys rubida
88,Chondracanthus canaliculatus,Chondracanthus canaliculatus,GBIF Backbone Taxonomy,0.988,Chondracanthus canaliculatus
89,Chondracanthus corymbiferus/exaspertata,Chondracanthus corymbiferus/exaspertata,GBIF Backbone Taxonomy,0.75,Chondracanthus
90,Chondracanthus harveyanus,Chondracanthus harveyanus,GBIF Backbone Taxonomy,0.988,Chondracanthus harveyanus
91,Chondracanthus spinosus,Chondracanthus spinosus,GBIF Backbone Taxonomy,0.988,Chondracanthus spinosus
92,Chondria acrorhizophora,Chondria acrorhizophora,GBIF Backbone Taxonomy,0.988,Chondria acrorhizophora
93,Chondria arcuata,Chondria arcuata,GBIF Backbone Taxonomy,0.988,Chondria arcuata
94,Chondria dasyphylla,Chondria dasyphylla,GBIF Backbone Taxonomy,0.988,Chondria dasyphylla
95,Chondria decipiens,Chondria decipiens,GBIF Backbone Taxonomy,0.988,Chondria decipiens
96,Chondria nidifica,Chondria nidifica,GBIF Backbone Taxonomy,0.988,Chondria nidifica
97,Chondria oppositiclada,Chondria oppositiclada,GBIF Backbone Taxonomy,0.988,Chondria oppositiclada
98,Chondria spp,Chondria spp,GBIF Backbone Taxonomy,0.75,Chondria
99,Chone minuta,Chone minuta,GBIF Backbone Taxonomy,0.988,Chone minuta
100,Chthamalus dalli/fissus,Chthamalus dalli/fissus,GBIF Backbone Taxonomy,0.75,Chthamalus
101,Cirolana spp,Cirolana spp,GBIF Backbone Taxonomy,0.75,Cirolana
102,Cladophora columbiana,Cladophora columbiana,GBIF Backbone Taxonomy,0.988,Cladophora columbiana
103,Cladophora graminea,Cladophora graminea,GBIF Backbone Taxonomy,0.988,Cladophora graminea
104,Clathromangelia interfossa,Clathromangelia interfossa,GBIF Backbone Taxonomy,0.988,Clathromangelia interfossa
105,Clathurella canfieldi,Clathurella canfieldi,GBIF Backbone Taxonomy,0.988,Clathurella canfieldi
106,Clavelina huntsmani,Clavelina huntsmani,GBIF Backbone Taxonomy,0.988,Clavelina huntsmani
107,Cnemidocarpa finmarkiensis,Cnemidocarpa finmarkiensis,GBIF Backbone Taxonomy,0.988,Cnemidocarpa finmarkiensis
108,Codium fragile,Codium fragile,GBIF Backbone Taxonomy,0.988,Codium fragile
109,Codium setchellii,Codium setchellii,GBIF Backbone Taxonomy,0.988,Codium setchellii
110,Colpomenia phaeodactyla,Colpomenia phaeodactyla,GBIF Backbone Taxonomy,0.75,Colpomenia
111,Colpomenia tuberculata,Colpomenia tuberculata,GBIF Backbone Taxonomy,0.75,Colpomenia
112,Constantinea simplex,Constantinea simplex,GBIF Backbone Taxonomy,0.988,Constantinea simplex
113,Conus californicus,Conus californicus,GBIF Backbone Taxonomy,0.988,Conus californicus
114,Corallina spp,Corallina spp,GBIF Backbone Taxonomy,0.75,Corallina
115,Corynactis californica,Corynactis californica,GBIF Backbone Taxonomy,0.988,Corynactis californica
116,Costaria costata,Costaria costata,GBIF Backbone Taxonomy,0.988,Costaria costata
117,Crangon spp,Crangon spp,GBIF Backbone Taxonomy,0.75,Crangon
118,Crepidula spp,Crepidula spp,GBIF Backbone Taxonomy,0.75,Crepidula
119,Crepipatella lingulata,Crepipatella lingulata,GBIF Backbone Taxonomy,0.988,Crepipatella lingulata
120,Crisulipora occidentalis,Crisulipora occidentalis,GBIF Backbone Taxonomy,0.988,Crisulipora occidentalis
121,Crucibulum spinosum,Crucibulum spinosum,GBIF Backbone Taxonomy,0.988,Crucibulum spinosum
122,Cryptochiton stelleri,Cryptochiton stelleri,GBIF Backbone Taxonomy,0.988,Cryptochiton stelleri
123,Cryptolithodes sitchensis,Cryptolithodes sitchensis,GBIF Backbone Taxonomy,0.988,Cryptolithodes sitchensis
124,Cryptolithodes typicus,Cryptolithodes typicus,GBIF Backbone Taxonomy,0.988,Cryptolithodes typicus
125,Cryptonemia sp,Cryptonemia sp,GBIF Backbone Taxonomy,0.75,Cryptonemia
126,Cryptosiphonia woodii,Cryptosiphonia woodii,GBIF Backbone Taxonomy,0.988,Cryptosiphonia woodii
127,Cucumaria miniata,Cucumaria miniata,GBIF Backbone Taxonomy,0.988,Cucumaria miniata
128,Cumagloia andersonii,Cumagloia andersonii,GBIF Backbone Taxonomy,0.988,Cumagloia andersonii
129,Cuthona lagunae,Cuthona lagunae,GBIF Backbone Taxonomy,0.988,Cuthona lagunae
130,Cyanoplax fernaldi,Cyanoplax fernaldi,GBIF Backbone Taxonomy,0.988,Cyanoplax fernaldi
131,Cyanoplax hartwegii,Cyanoplax hartwegii,GBIF Backbone Taxonomy,0.988,Cyanoplax hartwegii
132,Cyanoplax spp,Cyanoplax spp,GBIF Backbone Taxonomy,0.75,Cyanoplax
133,Cycloxanthops novemdentatus,Cycloxanthops novemdentatus,GBIF Backbone Taxonomy,0.988,Cycloxanthops novemdentatus
134,Cymakra gracilior,Cymakra gracilior,GBIF Backbone Taxonomy,0.988,Cymakra gracilior
135,Cypraea spadicea,Cypraea spadicea,GBIF Backbone Taxonomy,0.988,Cypraea spadicea
136,Cystoseira osmundacea,Cystoseira osmundacea,GBIF Backbone Taxonomy,0.988,Cystoseira osmundacea
137,Dasya binghamiae,Dasya binghamiae,GBIF Backbone Taxonomy,0.75,Dasya
138,Dasya sinicola/californica,Dasya sinicola/californica,GBIF Backbone Taxonomy,0.75,Dasya
139,Dasya spp,Dasya spp,GBIF Backbone Taxonomy,0.75,Dasya
140,Deep pool,Deep pool,GBIF Backbone Taxonomy,0.75,Deep
141,Delesseria decipiens,Delesseria decipiens,GBIF Backbone Taxonomy,0.988,Delesseria decipiens
142,Dendrobeania laxa,Dendrobeania laxa,GBIF Backbone Taxonomy,0.988,Dendrobeania laxa
143,Dendrobeania lichenoides,Dendrobeania lichenoides,GBIF Backbone Taxonomy,0.988,Dendrobeania lichenoides
144,Dendronotus subramosus,Dendronotus subramosus,GBIF Backbone Taxonomy,0.988,Dendronotus subramosus
145,Dendropoma lituella,Dendropoma lituella,GBIF Backbone Taxonomy,0.988,Dendropoma lituella
146,Derbesia marina,Derbesia marina,GBIF Backbone Taxonomy,0.988,Derbesia marina
147,Dermasterias imbricata,Dermasterias imbricata,GBIF Backbone Taxonomy,0.988,Dermasterias imbricata
148,Desmarestia aculeata,Desmarestia aculeata,GBIF Backbone Taxonomy,0.988,Desmarestia aculeata
149,Desmarestia ligulata,Desmarestia ligulata,GBIF Backbone Taxonomy,0.988,Desmarestia ligulata
150,Diaperoecia californica,Diaperoecia californica,GBIF Backbone Taxonomy,0.988,Diaperoecia californica
151,Diaperoecia punctulata,Diaperoecia punctulata,GBIF Backbone Taxonomy,0.75,Diaperoecia punctata
152,Diaulula sandiegensis,Diaulula sandiegensis,GBIF Backbone Taxonomy,0.988,Diaulula sandiegensis
153,Dictyoneurum californicum,Dictyoneurum californicum,GBIF Backbone Taxonomy,0.988,Dictyoneurum californicum
154,Dictyopteris undulata,Dictyopteris undulata,GBIF Backbone Taxonomy,0.988,Dictyopteris undulata
155,Dictyota spp,Dictyota spp,GBIF Backbone Taxonomy,0.75,Dictyota
156,Didemnum spp,Didemnum spp,GBIF Backbone Taxonomy,0.75,Didemnum
157,Dilsea californica,Dilsea californica,GBIF Backbone Taxonomy,0.988,Dilsea californica
158,Diodora aspera,Diodora aspera,GBIF Backbone Taxonomy,0.988,Diodora aspera
159,Diopatra ornata,Diopatra ornata,GBIF Backbone Taxonomy,0.988,Diopatra ornata
160,Dirona albolineata,Dirona albolineata,GBIF Backbone Taxonomy,0.988,Dirona albolineata
161,Dirona picta,Dirona picta,GBIF Backbone Taxonomy,0.988,Dirona picta
162,Distaplia occidentalis,Distaplia occidentalis,GBIF Backbone Taxonomy,0.988,Distaplia occidentalis
163,Distaplia smithi,Distaplia smithi,GBIF Backbone Taxonomy,0.988,Distaplia smithi
164,Dodecaceria spp,Dodecaceria spp,GBIF Backbone Taxonomy,0.75,Dodecaceria
165,Doriopsilla albopunctata,Doriopsilla albopunctata,GBIF Backbone Taxonomy,0.988,Doriopsilla albopunctata
166,Doris odhneri,Doris odhneri,GBIF Backbone Taxonomy,0.988,Doris odhneri
167,Dysidea fragilis,Dysidea fragilis,GBIF Backbone Taxonomy,0.988,Dysidea fragilis
168,Egregia menziesii,Egregia menziesii,GBIF Backbone Taxonomy,0.988,Egregia menziesii
169,Eisenia arborea,Eisenia arborea,GBIF Backbone Taxonomy,0.988,Eisenia arborea
170,Emplectonema gracile,Emplectonema gracile,GBIF Backbone Taxonomy,0.988,Emplectonema gracile
171,Encrusting coralline,Encrusting coralline,GBIF Backbone Taxonomy,0.75,Encrusting
172,Endarachne binghamiae,Endarachne binghamiae,GBIF Backbone Taxonomy,0.988,Endarachne binghamiae
173,Endocladia muricata,Endocladia muricata,GBIF Backbone Taxonomy,0.988,Endocladia muricata
174,Epiactis prolifera,Epiactis prolifera,GBIF Backbone Taxonomy,0.988,Epiactis prolifera
175,Epiactis ritteri,Epiactis ritteri,GBIF Backbone Taxonomy,0.988,Epiactis ritteri
176,Epialtoides hiltoni,Epialtoides hiltoni,GBIF Backbone Taxonomy,0.988,Epialtoides hiltoni
177,Epitonium tinctum,Epitonium tinctum,GBIF Backbone Taxonomy,0.988,Epitonium tinctum
178,Erythroglossum californicum,Erythroglossum californicum,GBIF Backbone Taxonomy,0.988,Erythroglossum californicum
179,Erythrophyllum delesserioides,Erythrophyllum delesserioides,GBIF Backbone Taxonomy,0.988,Erythrophyllum delesserioides
180,Eudendrium californicum,Eudendrium californicum,GBIF Backbone Taxonomy,0.988,Eudendrium californicum
181,Eudistylia polymorpha,Eudistylia polymorpha,GBIF Backbone Taxonomy,0.988,Eudistylia polymorpha
182,Eugorgia rubens,Eugorgia rubens,GBIF Backbone Taxonomy,0.988,Eugorgia rubens
183,Euherdmania claviformis,Euherdmania claviformis,GBIF Backbone Taxonomy,0.988,Euherdmania claviformis
184,Eupentacta quinquesemita,Eupentacta quinquesemita,GBIF Backbone Taxonomy,0.988,Eupentacta quinquesemita
185,Eurystomella bilabiata,Eurystomella bilabiata,GBIF Backbone Taxonomy,0.988,Eurystomella bilabiata
186,Evasterias troschelii,Evasterias troschelii,GBIF Backbone Taxonomy,0.988,Evasterias troschelii
187,Farlowia compressa,Farlowia compressa,GBIF Backbone Taxonomy,0.988,Farlowia compressa
188,Farlowia mollis,Farlowia mollis,GBIF Backbone Taxonomy,0.988,Farlowia mollis
