"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Halianthella sp A","Anemone #58","of Ljubenkov 1984",,
"Halianthella sp A","Anemone #59","of Ljubenkov 1984",,
"Halianthella sp A","Anemone #81","of Ljubenkov 1986",,
"Halianthella sp A","Anemone #88","of Ljubenkov 1986",,
"Halianthella sp A","Anthozoa #12","Ljubenkov 1984 º",,
"Halianthella sp A","Anthozoa #21","Ljubenkov 1984 º",,
"Halianthella sp A","Anthozoa #85","Ljubenkov 1984 º",,
"Halianthella sp A","Anthozoa #88","Ljubenkov 1984 º",,
"Halianthella sp B","Anemone #109","Ljubenkov 1984 º",,
"Halcampoides purpurea","Halcampa purpurea","Studer 1879",,
"Pentactinia californica","Anemone # 55","of Ljubenkov 1984",,
"Isanthidae sp A","Anthozoa #96","Ljubenkov 1984 º",,
"Zaolutus actius","Gonactinia prolifera","of authors SCB not M. Sars 1835",,
"Hormathia digitata","Actinia digitata","Mnller 1776",,
"Metridium farcimen","Actinia farcimen","Brandt 1835",,
"Metridium farcimen","Actinia priapus","Tilesius 1809 not Forskal 1775",,
"Metridium farcimen","Isometridium ricketsii","Carlgren 1949",,
"Metridium farcimen","Metridium giganteum","""Fautin",,
"Metridium farcimen","Medridium senile Cmplx","of SCAMIT Ed 3 in part",,
"Diadumene lineata","Sagartia lineata","Verrill 1869",,
"Diadumene lineata","Haliplanella luciae","of Hand 1956",,
"Diadumene lineata","Sagartia luciae","Verrill 1898",,
"Limnactiniidae sp A","Anthozoa #84","Ljubenkov 1984 º",,
"Limnactiniidae sp A","Anemone #47","of Ljubenkov 1983",,
"Limnactiniidae sp A","Anemone #57","of Ljubenkov 1984",,
"Anemonactis sp A","Anemone #1","of Ljubenkov 1978",,
"Harenactis attenuata","Anemone #56","of Ljubenkov 1984",,
"Anthopleura artemisia","Actinia artemisia","Pickering in Dana 1846",,
"Anthopleura elegantissima","Actinia elegantissima","Brandt 1835",,
"Anthopleura xanthogrammica","Actinia xanthogrammica","Brandt 1835",,
"Epiactis prolifera","Epiactis fertilis","Carlgren 1945",,
"Urticina columbiana","Tealia columbiana","of Gotshall & Laurent 1979",,
"Liponema brevicorne","Bolocera brevicornis","McMurrich 1893",,
"Liponema brevicorne","Liponema brevicornis","of SCAMIT Ed 7",,
"Stomphia vinosa","Paractis vinosa","McMurrich 1893",,
"Epizoanthus induratum","Epizoanthus induratus","of SCAMIT Ed 4",,
"Savalia lucifica","Parazoanthus lucificum","Cutress & Pequegnat 1960",,
"Kaburakia excelsa","Cryptophallus magnus","Freeman 1933",,
"Koinostylochus burchami","Planocera burchami","Heath & McGregor 1912",,
"Koinostylochus burchami","Discosolenia (Planocera) burchami","of Prudhoe 1985",,
"Koinostylochus burchami","Discosolenia burchami","of SCAMIT Ed 7",,
"Koinostylochus burchami","Discosolenia washingtoniensis","Freeman 1933",,
"Koinostylochus burchami","Polycladida sp B","Phillips 1987 º",,
"Koinostylochus burchami","Pseudostylochus burchami","of Hyman 1952",,
"Paraplanocera oligoglena","Stylochus oligoglenus","Schmarda 1859",,
"Paraplanocera oligoglena","Polycladida sp K","Phillips 1987 º",,
"Stylochus exiguus","Imogine exiguus","of SCAMIT Ed 4",,
"Stylochus exiguus","Platyhelminthes sp E","MBC 1978 º",,
"Stylochus exiguus","Platyhelminthes sp I","MBC 1980 º",,
"Stylochus exiguus","Polycladida sp C","Phillips 1987 º",,
