"Taxon","Synonym","Synonym Describer","OldToNew","NewToOld"
"Globivenus fordii","Antigonia fordi","of I. Oldroyd 1924",,
"Globivenus fordii","Ventricolaria fordii","of Bernard 1983",,
"Globivenus fordii","Venus (Antigonia) fordii","of Grant & Gale 1931",,
"Irusella lamellifera","Venus lamellifera","Conrad 1837",,
"Irusella lamellifera","Irus lamellifer","of Grant & Gale 1931",,
"Irusella lamellifera","Perticola cordieri","Deshayes 1840",,
"Irusella lamellifera","Venerupis lamellifera","of I. Oldroyd 1924",,
"Leukoma laciniata","Tapes laciniata","Carpenter 1864",,
"Leukoma laciniata","Paphia staminea laciniata","of I. Oldroyd 1924",,
"Leukoma laciniata","Paphia (Protothaca) staminea var laciniata","of Dall 1902",,
"Leukoma laciniata","Paphia (Protothaca) staminea laciniata","of Dall 1921",,
"Leukoma laciniata","Protothaca laciniata","of McLean 1978",,
"Leukoma laciniata","Protothaca (Callithaca) laciniata","of Palmer 1958",,
"Leukoma staminea","Venus staminea","Conrad 1837",,
"Leukoma staminea","Paphia (Protothaca) staminea var orbella","of Dall 1902",,
"Leukoma staminea","Protothaca staminea","of McLean 1978",,
"Leukoma staminea","Protothaca (Callithaca) staminea","of Palmer 1958",,
"Leukoma staminea","Tapes staminea var orbella","Carpenter 1864",,
"Compsomyax subdiaphana","Clementia subdiaphana","Carpenter 1864",,
"Compsomyax subdiaphana","Clementia obliqua","Jukes-Brown 1913",,
"Compsomyax subdiaphana","Clementia (Compsomyax) subdiaphana","of Grant & Gale 1931",,
"Compsomyax subdiaphana","Callista subdiaphana","of Arnold 1903",,
"Compsomyax subdiaphana","Katherinella (Compsomyax) subdiaphana","""of Woodring",,
"Compsomyax subdiaphana","Marcia subdiaphana","of I. Oldroyd 1924",,
"Compsomyax subdiaphana","Marcia (Venerella) subdiaphana","of Dall 1902",,
"Compsomyax subdiaphana","Saxidomus gibbosus","Gabb 1869",,
"Compsomyax subdiaphana","Venerella (Compsomyax) subdiaphana","of Stewart 1930 in part",,
"Tivela stultorum","Donax stultorum","Mawe 1823",,
"Tivela stultorum","Tivela crassatelloides","Stearns 1899",,
"Nutricola confusa","Transennella confusa","S. Gray 1982",,
"Nutricola cymata","Psephidia cymata","Dall 1913",,
"Nutricola lordi","Chione lordi","Baird 1863",,
"Nutricola lordi","Psephidia lordi","of Bernard 1983",,
"Nutricola ovalis","Psephidia ovalis","Dall 1902",,
"Nutricola ovalis","Nutricola sp SD1","Barwick 2004 º",,
"Nutricola tantilla","Venus tantillus","Gould 1853",,
"Nutricola tantilla","Transenella tantilla","of Bernard 1983",,
"Pitar newcombianus","Circe (Lioconcha) newcombiana","Gabb 1865",,
"Pitar newcombianus","Pitaria newcombianus","of I. Oldroyd 1924",,
"Venerupis philippinarum","Venus philippinarum","A. Adams & Reeve 1850",,
"Venerupis philippinarum","Tapes philippinarum","of Bernard 1983",,
"Cooperella subdiaphana","Oedalia subdiaphana","Carpenter 1864",,
"Cooperella subdiaphana","Oedalia (Cooperella) scintillaeformis","Carpenter 1864",,
"Cooperella subdiaphana","Oedalina (Cooperella) scintillaeformis","of Carpenter 1866",,
"Petricola carditoides","Saxicava carditoides","Conrad 1837",,
"Petricola carditoides","Petricola arcuata","Deshayes 1839",,
"Petricola carditoides","Petricola cylindracea","Deshayes 1839",,
"Petricola carditoides","Petricola gibba","Middendorff 1849",,
"Petricola carditoides","Petricola mirabilis","Deshayes 1853",,
"Petricola carditoides","Petricola pedroana","Conrad 1855",,
"Petricola carditoides","Petricola (Rupellaria) carditoides","of Bernard 1983",,
"Petricola carditoides","Saxicava abrupta","Conrad 1855",,
"Petricola carditoides","Saxicava californica","Conrad 1837",,
"Petricola carditoides","Saxicava legumen","Deshayes 1839",,
"Petricola hertzana","Petricola tellimyalis","of authors not Carpenter 1864",,
"Mactromeris catilliformis","Spisula catilliformis","Conrad 1837",,
"Mactromeris catilliformis","Mactra (Spisula) catilliformis","of Grant & Gale 1931",,
"Mactromeris catilliformis","Spisula mercedensis","Packard 1916",,
"Mactromeris catilliformis","Spisula (Mactromeris) catilliformis","of Hertlein & Grant 1972",,
"Mactromeris hemphillii","Mactra hemphilli","Dall 1894",,
"Mactromeris hemphillii","Spisula cameronis","Dall 1921",,
"Mactromeris hemphillii","Spisula hemphilli","of Packard 1916",,
"Mactromeris hemphillii","Spisula (Hemimactra) hemphilli","of I. Oldroyd 1924",,
"Mactrotoma californica","Mactra californica","Conrad 1837",,
"Mactrotoma californica","Mactra ovalina","Reeve 1854",,
"Mactrotoma nasuta","Mactra nasuta","Gould 1851",,
"Simomactra falcata","Mactra falcata","Gould 1850",,
"Simomactra falcata","Spisula falcata","of Bernard 1983",,
"Simomactra planulata","Mactra planulata","Conrad 1837",,
"Simomactra planulata","Spisula planulata","of Bernard 1983",,
"Tresus nuttallii","Lutraria (Cryptodon) nuttallii","Conrad 1837",,
"Tresus nuttallii","Schizothaerus nuttalli","of Fitch 1953",,
"Tresus nuttallii","Schizothaerus nuttallii","of Grant & Gale 1931",,
"Raeta undulata","Lutraria undulata","Gould 1851",,
"Mya arenaria","Mya acuta","Say 1822",,
"Mya arenaria","Mya alba","L. Agassiz 1839",,
"Mya arenaria","Mya communis","Megerle 1811",,
"Mya arenaria","Mya corpulenta","Conrad 1845",,
"Mya arenaria","Mya elongata","Locard 1886",,
"Mya arenaria","Mya hemphilli","Newcombe 1875",,
"Mya arenaria","Mya japonica","Jay 1856",,
"Mya arenaria","Mya mercenaria","Say 1822",,
"Mya arenaria","Mya paternalis","Matsumoto 1930",,
"Mya arenaria","Mya oonogai","Makiyama 1935",,
"Mya arenaria","Mya subovata","Woodward 1833",,
"Mya arenaria","Mya subtruncata","Woodward 1833",,
"Mya arenaria","Sphenia ovoidea","Carpenter 1864",,
"Platyodon cancellatus","Mya cancellata","Conrad 1837",,
"Platyodon cancellatus","Cryptodonta myoides","Carpenter 1864",,
"Cryptomya californica","Sphaenia californica","Conrad 1837",,
"Cryptomya californica","Cryptomya magna","Dall 1921",,
"Cryptomya californica","Myidae sp SD2","Lilly 1999 º",,
"Sphenia fragilis","Tyleria fragilis","H. & A. Adams 1854",,
"Sphenia luticola","Corbula luticola","Valenciennes 1846",,
"Sphenia luticola","Cupspidaria (Tropidomya) nana","Oldroyd 1918",,
"Sphenia luticola","Myidae sp SD1","Barwick 1997 º",,
"Sphenia luticola","Sphenia globula","Dall 1919",,
"Sphenia luticola","Sphenia pholadidea","Dall 1916",,
"Caryocorbula luteola","Corbula luteola","Carpenter 1864",,
"Caryocorbula luteola","Aloides (Lentidium) luteola","of Keen 1937",,
"Caryocorbula luteola","Aloidis (Caryocorbula) luteola","of Hertlein & Strong 1950",,
"Caryocorbula luteola","Corbula luteola var rosea","Williamson 1905",,
"Caryocorbula luteola","Corbula (Caryocorbula) luteola","of Keen 1958",,
"Caryocorbula luteola","Corbula (Lentidium) luteola","of Grant & Gale 1931",,
"Caryocorbula luteola","Juliacorbula luteola","of SCAMIT Ed 4",,
"Caryocorbula porcella","Corbula porcella","Dall 1916",,
"Grippina californica","Grippina berryana","Keen 1971",,
"Netastoma rostratum","Pholas rostrata","Valenciennes 1846",,
"Netastoma rostratum","Netastoma rostrata","of McLean 1969",,
"Netastoma rostratum","Pholadidea rostrata","of I. Oldroyd 1924",,
"Chaceia ovoidea","Pholas ovoidea","Gould 1851",,
"Parapholas californica","Pholas californica","Conrad 1837",,
"Xylophaga washingtona","Xylophaga californica","Bartsch 1921",,
"Heteroclidus punctata","Pandora punctata","Conrad 1837",,
"Heteroclidus punctata","Clidiophora punctata","of Arnold 1907",,
"Heteroclidus punctata","Pandora (Heteroclidus) punctata","of Keen 1958",,
"Heteroclidus punctata","Pandora (Heteroclidus) punctata gabbi","Dall 1903",,
"Pandora bilirata","Pandora delicatula","G. B. Sowerby II 1874",,
"Pandora bilirata","Pandora (Kennerlia) bicarinata","Cooper 1867",,
"Pandora bilirata","Pandora (Kennerlia) pseudobilirata","Nomura & Hatai 1940",,
"Pandora bilirata","Pandora (Pandorella) bilirata","of Hertlein & Grant 1972",,
"Pandora filosa","Kennerlia filosa","Carpenter 1864",,
"Pandora filosa","Pandora (Kennerlia) filosa","of Carpenter 1869",,
"Pandora filosa","Pandora (Pandorella) filosa","of Palmer 1958",,
"Entodesma brevifrons","Lyonsia brevifrons","G. B. Sowerby I 1834",,
"Entodesma brevifrons","Entodesma pictum","of authors NEP not (G. B. Sowerby 1834)",,
"Entodesma brevifrons","Lyonsia diaphana","Carpenter 1856",,
"Entodesma brevifrons","Lyonsia inflata","Conrad 1837",,
"Entodesma navicula","Lyonsia navicula","A. Adams & Reeve 1850",,
"Entodesma navicula","Agriodesma saxicola","of Bernard 1972",,
"Entodesma navicula","Entodesma saxicola","(Baird 1863)",,
"Lyonsia californica","Lyonsia californica haroldi","Dall 1915",,
"Lyonsia californica","Lyonsia gouldi","Dall 1915",,
"Lyonsia californica","Lyonsia nesiotes","Dall 1915",,
"Lyonsia californica","Osteodesma nitidum","of Gould 1853",,
"Asthenothaerus diegensis","Thracia diegensis","Dall 1915",,
"Asthenothaerus diegensis","Astenothaerus villosior","of authors NEP not Carpenter 1864",,
"Cyathodonta pedroana","Cyathodonta undulata","of Grant & Gale 1931 not Conrad 1849",,
"Thracia curta","? Lepton clementinum","Carpenter 1857",,
"Thracia curta","Thracia quentinensis","Dall 1921",,
"Thracia curta","Thracia (Ixartia) curta","of Coan 1990",,
"Thracia trapezoides","Thracia kanakoffi","Hertlein & Grant 1972",,
"Thracia trapezoides","Thracia (Homoeodesma) trapezoides","of Coan 1990",,
"Laternula marilina","Anatina marilina","Reeve 1860",,
"Cardiomya lanieri","Cuspidaria lanieri","Strong & Hertlein 1937",,
"Cardiomya pectinata","Neaera pectinata","Carpenter 1864",,
"Cardiomya pectinata","Cardiomya isolirata","Bernard 1969",,
"Cardiomya pectinata","Cuspidaria californica","Dall 1886",,
"Cardiomya pectinata","Cuspidaria costata","of authors SCB not G. B. Sowerbry I 1834",,
"Cardiomya pectinata","Cuspidaria dulcis","Pilsbry & Lowe 1932",,
"Cardiomya pectinata","Cuspidaria pectinata","of I. Oldroyd 1924",,
"Cardiomya pectinata","Cuspidaria (Cardiomya) oldroydi","Dall in I. Oldroyd 1924",,
"Cardiomya pectinata","Cuspidaria (Cardiomya) pectinata","of Grant & Gale 1931",,
"Cardiomya planetica","Cuspidaria (Cardiomya) planetica","Dall 1908",,
"Cardiomya planetica","Cuspidaria (Cardiomya) pseustes","Dall 1908",,
"Cuspidaria parapodema","Cuspidaria apodema","of authors not Dall 1916",,
"Luzonia chilensis","Cuspidaria (Luzonia) chilensis","Dall 1890",,
"Luzonia chilensis","Cuspidaria (Luzonia) walleri","F. R. Bernard 1989",,
"Luzonia chilensis","Luzonia walleri","of SCAMIT Ed 6",,
"Plectodon scaber","Leiomya (Plectodon) scaber","of Dall 1921",,
"Plectodon scaber","Leiomya (Plectodon) scabra","of Bernard 1974",,
"Haliris aequacostata","Verticordia aequacostata","Howard 1950",,
"Trigonulina novemcostatus","Verticordia novemcostatus","A. Adams & Reeve 1850",,
"Trigonulina novemcostatus","Trigonulina pacifica","Jung 1996",,
"Trigonulina novemcostatus","Verticordia ornata","of authors NEP not (d'Orbigny 1857)",,
"Dallicordia alaskana","Lyonsiella alaskana","Dall 1895",,
"Policordia hispida","Policordia sp A","SCAMIT 2014 º",,
"Policordia hispida","Policordia sp OC1","Barwick 2014 º",,
"Dermatomya tenuiconcha","Poromya (Dermatomya) tenuiconcha","Dall 1913",,
"Dermatomya tenuiconcha","Dermatomya tenuiconcha sagamiensis","Okutani 1962",,
"Dermatomya tenuiconcha","Poromya (Dermatomya) soyoae","Habe 1952",,
"Antalis pretiosa","Dentalium pretiosum","G. B. Sowerby II 1860",,
"Antalis pretiosa","Antalis columbiana","Clessin 1896",,
"Antalis pretiosa","Antalis densiliratum","Pilsbry & Sharp 1898",,
"Antalis pretiosa","Dentalium indianorum","Carpenter 1864",,
"Dentalium vallicolens","Dentalium (Graptacme) vallicolens","of Abbott 1974",,
"Graptacme semipolitum","Dentalium semipolitum","Broderip & Sowerby 1829",,
"Rhabdus dalli","Dentalium (Rhabdus) dalli","Pilsbry & Sharp 1897",,
"Rhabdus rectius","Dentalium rectius","Carpenter 1864",,
"Rhabdus rectius","Dentalium watsoni","Pilsbry & Sharp 1897",,
"Rhabdus rectius","Dentalium (Rhabdus) rectius","of Pilsbry & Sharp 1897-98",,
"Polyschides quadrifissatus","Cadulus (Polyschides) quadrifissatus","Pilsbry & Sharp 1898",,
"Polyschides quadrifissatus","Siphonodentalium quadrifissatum","of SCAMIT Ed 4",,
"Cadulus californicus","Cadulus (Platyschides) californicus","of Abbott 1974",,
"Cadulus californicus","Polyschides californicus","of SCAMIT Ed 4",,
"Gadila aberrans","Cadulus aberrans","Whiteaves 1887",,
"Gadila aberrans","Cadulus fusiformis","Pilsbry & Sharp 1898",,
"Gadila aberrans","Cadulus hepburni","Dall 1897",,
"Gadila aberrans","Cadulus nitentior","Arnold 1903",,
"Gadila aberrans","Pulsellum aberrans","of Turgeon et al 1988",,
"Gadila tolmiei","Cadulus tolmiei","Dall 1897",,
"Gadila tolmiei","Polyschides tolmiei","of Turgeon et al 1998",,
"Compressidens stearnsii","Dentalium stearnsii","Pilsbry & Sharp 1898",,
"Compressidens stearnsii","Dentalium (Compressidens) simplex","Pilsbry & Sharp 1897 not Michelotti 1861",,
"Rossia pacifica","Rossia borealis","Sasaki 1913",,
"Doryteuthis opalescens","Loligo opalescens","Berry 1911",,
"Doryteuthis opalescens","Loligo stearnsi","Hemphill 1892",,
"Doryteuthis opalescens","Ommastrephes tryoni","of Keep 1904 not (Gabb 1864)",,
"Octopus californicus","Polypus californicus","Berry 1911",,
"Octopus rubescens","Polypus apollyon","Berry 1913",,
"Octopus rubescens","Polypus hongkongensis","of Berry 1911 in part",,
"Golfingia margaritacea","Sipunculus margaritaceus","M. Sars 1851",,
"Golfingia margaritacea","Golfingia ikedai","Fisher 1952",,
"Golfingia margaritacea","Golfingia margaritaceum californiensis","Fisher 1952",,
"Golfingia margaritacea","Phascolosoma glossipapillosum","Sat( 1934",,
"Golfingia margaritacea","Phascolosoma japonicum","Ikeda 1904",,
"Golfingia margaritacea","Phascolosoma noto","Sat( 1934",,
"Golfingia margaritacea","Phascolosoma okinoseanum","Ikeda 1904",,
"Golfingia margaritacea","Phascolosoma signum","Sat( 1934",,
"Golfingia margaritacea","Phascolosoma soyo","Sat( 1934",,
"Nephasoma diaphanes","Phascolosoma diaphanes","Gerould 1913",,
"Nephasoma diaphanes","Golfingia minuta","of Stephen & Edmonds 1972",,
"Nephasoma diaphanes","Phascolosoma minutum","of ThTel 1911 not (Kieferstein 1862)",,
"Nephasoma eremita","Sipunculus eremita","M. Sars 1851",,
"Nephasoma eremita","Golfingia elachea","Fisher 1952",,
"Nephasoma eremita","Golfingia eremita californica","Fisher 1952",,
"Nephasoma eremita","Phascolosoma digitatum","ThTel 1875",,
"Nephasoma eremita","Sipunculus boreale","of Keferstein 1865",,
"Nephasoma eremita","Sipunculus (Phascolosoma) borealis","Quatrefages 1865",,
"Nephasoma pellucidum","Phascolosoma pellucidum","Keferstein 1865",,
"Nephasoma pellucidum","Golfingia coriacea","Fisher 1950",,
"Nephasoma pellucidum","Golfingia eremita var australe","Wesenberg-Lund 1959",,
"Nephasoma pellucidum","Golfingia pellucida","of Murina 1968",,
"Nephasoma pellucidum","Golfingia sluiteri","of Stephen & Edmonds 1972",,
"Nephasoma pellucidum","Phascolosoma cinereum","Gerould 1908",,
"Nephasoma pellucidum","Phascolosoma riisei","Keferstein 1865",,
"Nephasoma pellucidum","Phascolosoma sluiteri","of ten Broeke 1925",,
"Nephasoma pellucidum","Phascolosoma verrillii","Gerould 1908",,
"Thysanocardia nigra","Phascolosoma nigrum","Ikeda 1904",,
"Thysanocardia nigra","Golfingia catharinae","(Grube 1868)",,
"Thysanocardia nigra","Golfingia hozawai","Stephen & Edmonds 1972",,
"Thysanocardia nigra","Golfingia macginitiei","Fisher 1952",,
"Thysanocardia nigra","Golfingia nigra","of Stephen & Edmonds 1972",,
"Thysanocardia nigra","Golfingia procera","of authors NEP not (M÷bius 1875)",,
"Thysanocardia nigra","Golfingia pugettensis","Stephen & Edmonds 1972",,
"Thysanocardia nigra","Phascolosoma hozawai","Sat( 1937",,
"Thysanocardia nigra","Phascolosoma hyugensis","Sat( 1934",,
"Thysanocardia nigra","Phascolosoma onagawa","Sat( 1937",,
"Thysanocardia nigra","Phascolosoma pavlenkoi","Ostroumov 1909",,
"Thysanocardia nigra","Phascolosoma zenibakense","Ikeda 1924",,
"Phascolion sp A","Onchnesoma sp A","SCAMIT 1985 º",,
"Siphonosoma ingens","Siphonosomecus ingens","Fisher 1947",,
"Sipunculus nudus","Sipunculus balanophorus","delle Chiaje 1823",,
"Sipunculus nudus","Sipunculus delphinus","Murina 1967",,
"Sipunculus nudus","Sipunculus eximioclathratus","Baird 1868",,
"Sipunculus nudus","Sipunculus gigas","Quatrefages 1865",,
"Sipunculus nudus","Sipunculus titubans","""Selenka & Bnlow in Selenka",,
"Sipunculus nudus","Syrinx nudus","of Forbes 1841",,
"Sipunculus nudus","Syrinx tesselatus","Rafinesque 1814",,
"Themiste hennahi","Dendrostomum lissum","Fisher 1952",,
"Themiste hennahi","Dendrostomum perimeces","Fisher 1928",,
"Themiste hennahi","Dendrostomum schmitti","Fisher 1952",,
"Themiste hennahi","Dendrostomum zostericola","Chamberlin 1920",,
"Themiste hennahi","Themiste lissa","(Fisher 1952)",,
"Themiste hennahi","Themiste perimeces","(Fisher 1928)",,
"Themiste hennahi","Themiste zostericola","(Chamberlin 1920)",,
"Apionsoma misakianum","Phascolosoma misakianum","Ikeda 1904",,
"Apionsoma misakianum","Apionsoma misakiana","""of E. Cutler",,
"Apionsoma misakianum","Golfingia hespera","of Fisher 1952",,
"Apionsoma misakianum","Golfingia (Mitosiphon) misakiana","of Stephen & Edmonds 1972",,
"Apionsoma misakianum","Golfingia (Phascolana) longirostris","Wesenberg-Lund 1959",,
"Apionsoma misakianum","Golfingia (Phascolana) tenuissima","Wesenberg-Lund 1959",,
"Apionsoma misakianum","Phascolosoma hespera","Chamberlin 1920",,
"Apionsoma trichocephala","Phascolosoma pusillum","Sluiter 1912",,
"Phascolosoma agassizii","Phascolosoma (Rueppellisoma) golikovi","Murina 1975",,
"Phascolosoma agassizii","Phascolosoma japonicum","Grube 1877",,
"Phascolosoma agassizii","Phymosoma lordi","Baird 1868",,
"Phascolosoma agassizii","Physcosoma formosense","Sat( 1939",,
"Phascolosoma agassizii","Physcosoma glaucum","Sat( 1930",,
"Phascolosoma agassizii","Physcosoma yezoense","Ikeda 1924",,
"Pareurythoe californica","Eurythoe californica","Johnson 1897",,
"Euphrosine arctia","Euphrosyne arctia","Johnson 1897",,
"Dorvillea (Schistomeringos) annulata","Stauronereis annulatus","Moore 1906",,
"Dorvillea (Schistomeringos) annulata","Dorvillea annulata","of Fauchald 1970",,
"Dorvillea (Schistomeringos) annulata","Schistomeringos longicornis","of Lissner et al 1986 in part not (Ehlers 1901)",,
"Dorvillea (Schistomeringos) annulata","Schistomeringos nr annulata","of Lissner et al 1986",,
"Dorvillea (Schistomeringos) annulata","Stauronereis rudolphi","of Pettibone 1963 in part not (delle Chiaje 1828)",,
"Dorvillea (Schistomeringos) longicornis","Stauronereis longicornis","Ehlers 1901",,
"Dorvillea (Schistomeringos) longicornis","Dorvillea articulata","of Hartman 1968",,
"Dorvillea (Schistomeringos) longicornis","Dorvillea atlantica","of Hartman 1968 not (McIntosh 1885)",,
"Dorvillea (Schistomeringos) longicornis","Dorvillea rudolphi","of Fauchald 1970 in part not (delle Chiaje 1828)",,
"Dorvillea (Schistomeringos) longicornis","Schistomeringos longicornis","of Jumars 1974",,
"Dorvillea (Schistomeringos) longicornis","Stauronereis articulatus","Hartman 1938",,
"Dorvillea (Schistomeringos) longicornis","Stauronereis rudolphi","of Pettibone 1963 in part not (delle Chiaje 1828)",,
"Ophryotrocha sp A","Dorvilleidae sp A","Montagne 1983 º",,
"Ophryotrocha sp B","Dorvilleidae sp B","Montagne 1983 º",,
"Ophryotrocha sp C","Dorvilleidae sp C","Montagne 1983 º",,
"Parougia caeca","Staurocephalus caecus","Webster & Benedict 1884",,
"Parougia caeca","Dorvillea caeca","of Banse & Hobson 1968",,
"Protodorvillea gracilis","Stauronereis gracilis","Hartman 1938",,
"Protodorvillea gracilis","Dorvillea gracilis","of Hartman 1959",,
"Protodorvillea gracilis","Protodorvillea kefersteini","of authors NEP not (McIntosh 1869)",,
"Protodorvillea gracilis","Protodorvillea recuperata","Banse & Nicols 1968",,
"Leodice americana","Eunice americana","Hartman 1944",,
"Leodice antennata","Eunice antennata","of authors NEP",,
"Marphysa disjuncta","Marphysa belli oculata","of authors SCB not Treadwell 1921",,
"Marphysa disjuncta","Marphysa sp A","Harris & Velarde 1983 º",,
"Marphysa sanguinea","Nereis sanguinea","Montagu 1815",,
"Marphysa sp B","Marphysa sp HYP1","Phillips 2003 º",,
"Palola paloloides","Eunice (Eriphyle) paloloides","Moore 1909",,
"Cenogenus fusca","Ninoe fusca","Moore 1911",,
"Cenogenus fusca","Paraninoe fusca","(Moore 1911)",,
"Eranno bicirrata","Lumbrineris bicirrata","Treadwell 1922",,
"Eranno lagunae","Lumbrineris lagunae","Fauchald 1970",,
"Eranno lagunae","Lumbrineris bifilaris","of Hartman 1944 not Ehlers 1901",,
"Lumbrinerides platypygos","Lumbrineris platypygos","Fauchald 1970",,
"Lumbrinerides platypygos","Lumbrineris acuta","of Hartman 1968 not (Verrill 1875)",,
"Lumbrineris cruzensis","Lumbriconereis cruzensis","of Uschakov & Wu 1965",,
"Lumbrineris cruzensis","Lumbrineris crucensis","of Rioja 1962",,
"Lumbrineris index","Lumbrineris japonica index","Moore 1911",,
"Lumbrineris japonica","Lumbriconereis japonica","Marenzeller 1879",,
"Lumbrineris japonica","Lumbriconereis latreilli","of Uschakov & Wu 1962 not Audouin & H. Milne Edwards 1834",,
"Lumbrineris japonica","Lumbrineris latreilli japonica","of Hartman 1944",,
"Lumbrineris latreilli","Lumbriconereis latreilli","of Fauvel 1923",,
"Lumbrineris ligulata","Lumbrineris californiensis","Hartman 1944",,
"Ninoe tridentata","Ninoe sp A","Harris 1985 º",,
"Ninoe tridentata","Ninoe gemmea","of authors SCB",,
"Scoletoma bassi","Lumbrineris bassi","Hartman 1944",,
"Scoletoma erecta","Lumbriconereis erecta","Moore 1904",,
"Scoletoma erecta","Lumbrineris erecta","(Moore 1904)",,
"Scoletoma erecta","Errano erecta","of Lovell 2001 SCAMIT handout",,
"Scoletoma tetraura Cmplx","Scoletoma luti","of authors SCB not (Berkeley & Berkeley 1945)",,
"Scoletoma tetraura Cmplx","Scoletoma tetraura","of authors SCB not (Schmarda 1861)",,
"Scoletoma zonata","Lumbriconereis zonata","Johnson 1901",,
"Scoletoma zonata","Lumbrineris zonata","of authors NEP",,
"Scoletoma sp A","Lumbrineris sp A","Harris 1985 º",,
"Scoletoma sp B","Lumbrineris sp B","Harris 1985 º",,
"Scoletoma sp C","Lumbrineris sp C","Harris 1985 º",,
"Arabella iricolor Cmplx","Arabella iricolor","of authors NEP not (Montagu 1804)",,
"Arabella semimaculata","Aracoda semimaculata","Moore 1911",,
"Drilonereis filum","Lumbriconereis filum","ClaparFde 1868",,
"Drilonereis mexicana","Drilonereis nuda","of Hartman 1944 in part not Moore 1909",,
"Drilonereis sp A","Driloneris longa","of authors SCB in part not Webster 1879",,
"Drilonereis sp A","Drilonereis nr longa","of Montagne 1982",,
"Drilonereis sp A","Drilonereis sp B","Harris 1985 º",,
"Diopatra ornata","Onuphis longibranchiata","E. Berkeley 1972",,
"Kinbergonuphis paradiopatra","Nothria stigmatis paradiopatra","Hartman 1944",,
"Kinbergonuphis vexillaria","Onuphis vexillaria","Moore 1911",,
"Mooreonuphis exigua","Nothria exigua","Shisko 1981",,
"Mooreonuphis litoralis","Onuphis litoralis","Monro 1933",,
"Mooreonuphis nebulosa","Onuphis nebulosa","Moore 1911",,
"Mooreonuphis nebulosa","Mooreonuphis nr nebulosa","of Steinhauer & Imamura 1990",,
"Mooreonuphis segmentispadix","Onuphis segmentispadix","Shisko 1981",,
"Mooreonuphis segmentispadix","Mooreonuphis sp B","Harris 1985 º",,
"Mooreonuphis stigmatis","Onuphis stigmatis","Treadwell 1922",,
"Mooreonuphis stigmatis","Nothria stigmatis","of Hartman 1944",,
"Mooreonuphis veleronis","Onuphis (Nothria) veleronis","Fauchald 1980",,
"Mooreonuphis veleronis","Nothria stigmatus intermedia","Hartman 1944",,
"Nothria occidentalis","Nothria conchylega occidentalis","Fauchald 1968",,
"Nothria occidentalis","Paranothria sp A","Steinhauer & Imamura 1990",,
"Onuphis elegans","Northia elegans","Johnson 1901",,
"Onuphis elegans","Nothria elegans","of Hartman 1968 in part",,
"Onuphis geophiliformis","Northia geophiliformis","Moore 1903",,
"Onuphis geophiliformis","Nothria geophiliformis","of Fauchald 1968",,
"Onuphis iridescens","Northia iridescens","Johnson 1901",,
"Onuphis iridescens","Nothria iridescens","of Hartman 1944 in part",,
"Onuphis pallida","Nothria pallida","Moore 1911",,
"Onuphis sp A","Nothria iridescens","of Hartman 1944 in part",,
"Onuphis sp A","Onuphis sp 1","Pt. Loma 1983 º",,
"Onuphis sp A","""Onuphis sp """"intermediates""""""","Hobson 1971",,
"Paradiopatra parva","Onuphis parva","Moore 1911",,
"Paradiopatra parva","Sarsonuphis parva","of Fauchald 1982",,
"Rhamphobrachium longisetosum","Rhamphobrachium cristobalensis","Fauchald 1968",,
"Acoetes mortenseni","Polyodontes mortenseni","Monro 1928",,
"Acoetes mortenseni","Panthalis mortenseni","of Hartman 1969",,
"Acoetes pacifica","Panthalis pacifica","Treadwell 1914",,
"Polyodontes panamensis","Panthalis panamensis","Chamberlin 1919",,
"Arctonoe pulchra","Polynoe pulchra","Johnson 1897",,
"Lepidasthenia berkeleyae","Lepidasthenia interrupta","of Hartman 1968 not Marenzeller 1902",,
"Lepidasthenia longicirrata","Lepidametria longicirrata","of Berkeley & Berkeley 1948",,
"Halosydna johnsoni","Lepidonotus johnsoni","Darboux 1899",,
"Lepidonotus spiculus","Polynoe spicula","Treadwell 1906",,
"Lepidonotus spiculus","Lepidonotus caeloris","of authors in part not Moore 1903",,
"Lepidonotus spiculus","Lepidonotus caelorus","of authors in part not Moore 1903",,
"Lepidonotus spiculus","Lepidonotus squamatus","of authors in part not Linnaeus 1767",,
"Eucranta anoculata","Antinoe anoculata","Moore 1910",,
"Eunoe senta","Gattyana senta","Moore 1902",,
"Harmothoe extenuata","Polynoe extenuata","Grube 1840",,
"Harmothoe extenuata","Lagisca extenuata","of SCAMIT Ed 10",,
"Harmothoe fragilis","Harmothoe (Evarne) fragilis","Moore 1910",,
"Harmothoe fragilis","Antinoe sp C","Steinhauer & Imamura 1990 in part",,
"Harmothoe fragilis","Harmothoe impar","of authors not (Johnston 1839)",,
"Harmothoe multisetosa","Lagisca multisetosa","Moore 1902",,
"Hesperonoe complanata","Harmothoe complanata","Johnson 1901",,
"Malmgreniella baschi","Eunoe sp C","Harris 1985 º",,
"Malmgreniella baschi","Eunoe cf depressa","SCAMIT 1990 º",,
"Malmgreniella baschi","Harmothoe nr lunulata","Steinhauer & Imamura 1990 in part",,
"Malmgreniella baschi","Harmothoe sp A","Harris 1985 º",,
"Malmgreniella macginitiei","Malmgreniella sp B","of authors SCB",,
"Malmgreniella nigralba","Malmgenia nigralba","E. Berkeley 1923",,
"Malmgreniella nigralba","Harmothoe lunulata","of Hartman 1968 in part not (delle Chiaje 1830)",,
