FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Mooreonuphis,genus,Annelida,Polychaeta,Eunicida,Onuphidae,Mooreonuphis,4,3,3,2,1,1,1
Mooreonuphis exigua,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Mooreonuphis nebulosa,species,Annelida,Polychaeta,Eunicida,Onuphidae,Mooreonuphis,3,3,3,1,1,1,1
Mooreonuphis stigmatis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Mopalia,genus,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,383,115,59,382,114,59,59
Munida quadrispina,species,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,15,0,0,14,0,0,0
Munna,genus,Arthropoda,Malacostraca,Isopoda,Munnidae,Munna,4,0,0,4,0,0,0
Munnopsurus,genus,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Munnopsurus,4,0,0,4,0,0,0
Arcuatula senhousia,species,Mollusca,Bivalvia,Mytilida,Mytilidae,Arcuatula,42,0,0,42,0,0,0
Musculus,genus,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,47,0,0,43,0,0,0
Mya arenaria,species,Mollusca,Bivalvia,Myida,Myidae,Mya,140,33,0,122,23,0,0
Myrianida,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,66,0,0,61,0,0,0
Myrianida pachycera,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Myrianida,1,0,0,1,0,0,0
Myriochele,genus,Annelida,Polychaeta,Sabellida,Oweniidae,Myriochele,4,0,0,0,0,0,0
Myriochele olgae,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Myriotrochus,genus,Echinodermata,Holothuroidea,Apodida,Myriotrochidae,Myriotrochus,9,0,0,8,0,0,0
Mysella,genus,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Mysella,23,0,0,21,0,0,0
Mysidopsis,genus,Arthropoda,Malacostraca,Mysida,Mysidae,Mysidopsis,5,0,0,5,0,0,0
Mystides,genus,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Mystides,32,0,0,30,0,0,0
Mytilus,genus,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,3952,333,85,3881,329,81,81
Myxicola,genus,Annelida,Polychaeta,Sabellida,Sabellidae,Myxicola,24,6,0,20,5,0,0
Myxoderma platyacanthum,species,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Myxoderma,3,0,0,3,0,0,0
Naineris,genus,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,101,68,27,100,67,27,28
Naineris dendritica,species,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,30,30,27,30,30,27,27
Naineris grubei,species,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,1,0,0,1,0,0,0
Naineris quadricuspida,species,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,27,23,0,27,23,0,0
Naineris uncinata,species,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Naineris,4,4,0,4,4,0,0
Nassarius,genus,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,1343,40,22,1109,27,10,10
Nassarius tiarula,species,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius,12,12,12,8,8,8,8
Neaeromya compressa,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Neaeromya rugifera,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Neanthes,genus,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,261,60,54,261,60,54,54
Neanthes acuminata,species,Annelida,Polychaeta,Phyllodocida,Nereididae,Neanthes,71,60,54,71,60,54,54
Neastacilla californica,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Nebalia,genus,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Nebalia,167,2,0,166,1,0,0
Nebalia hessleri,species,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Nebalia,8,0,0,8,0,0,0
Nebalia pugettensis,species,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Nebalia,2,2,0,1,1,0,0
Neilonella,genus,Mollusca,Bivalvia,Nuculanida,Neilonellidae,Neilonella,4,0,0,4,0,0,0
Nellobia eusoma,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Neocrangon resima,species,Arthropoda,Malacostraca,Decapoda,Crangonidae,Neocrangon,1,0,0,1,0,0,0
Neodexiospira brasiliensis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Neosabellaria cementarium,species,Annelida,Polychaeta,Sabellida,Sabellariidae,Neosabellaria,4,2,0,4,2,0,0
Simnia avena,species,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Simnia,10,0,0,10,0,0,0
Neotrypaea,genus,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,730,8,0,729,7,0,0
Neotrypaea californiensis,species,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,725,4,0,724,3,0,0
Neotrypaea gigas,species,Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,5,4,0,5,4,0,0
Nephasoma,genus,Annelida,Sipuncula,Golfingiida,Golfingiidae,Nephasoma,17,7,0,16,6,0,0
Nephasoma diaphanes,species,Annelida,Sipuncula,Golfingiida,Golfingiidae,Nephasoma,6,5,0,6,5,0,0
Nephasoma pellucidum,species,Annelida,Sipuncula,Golfingiida,Golfingiidae,Nephasoma,3,0,0,3,0,0,0
Nephtys,genus,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,382,73,39,300,34,12,12
Nephtys caecoides,species,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,20,20,17,4,4,4,4
Nephtys ferruginea,species,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,44,18,12,2,0,0,0
Nephtys punctata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Nereiphylla,genus,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Nereiphylla,57,1,1,55,1,1,1
Nereis,genus,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,413,73,6,371,69,2,2
Nereis latescens,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Nereis pelagica,species,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereis,21,12,1,20,12,1,1
Neverita,genus,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita,22,2,0,20,2,0,0
Neverita lewisii,species,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Neverita,6,2,0,4,2,0,0
Nicippe tumida,species,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Nicippe,1,1,1,1,1,1,1
Nicolea,genus,Annelida,Polychaeta,Terebellida,Terebellidae,Nicolea,40,12,0,40,12,0,0
Nicomache,genus,Annelida,Polychaeta,NA,Maldanidae,Nicomache,67,9,0,67,9,0,0
Nicomache lumbricalis,species,Annelida,Polychaeta,NA,Maldanidae,Nicomache,12,3,0,12,3,0,0
Nicomache personata,species,Annelida,Polychaeta,NA,Maldanidae,Nicomache,14,5,0,14,5,0,0
Ninoe,genus,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,54,2,1,52,1,1,1
Ninoe palmata,species,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,7,0,0,7,0,0,0
Ninoe tridentata,species,Annelida,Polychaeta,Eunicida,Lumbrineridae,Ninoe,1,1,1,1,1,1,1
Notomastus,genus,Annelida,Polychaeta,NA,Capitellidae,Notomastus,61,12,1,28,4,0,0
Notomastus hemipodus,species,Annelida,Polychaeta,NA,Capitellidae,Notomastus,2,2,0,0,0,0,0
Notomastus latericeus,species,Annelida,Polychaeta,NA,Capitellidae,Notomastus,13,2,0,11,0,0,0
Notomastus lineatus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Notomastus tenuis,species,Annelida,Polychaeta,NA,Capitellidae,Notomastus,2,2,0,0,0,0,0
Notopoma,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Nucula carlottensis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Nuculana,genus,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,87,7,0,82,6,0,0
Nuculana hamata,species,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,1,1,0,0,0,0,0
Nutricola,genus,Mollusca,Bivalvia,Venerida,Veneridae,Nutricola,6,6,0,5,5,0,0
Nutricola lordi,species,Mollusca,Bivalvia,Venerida,Veneridae,Nutricola,5,5,0,4,4,0,0
Nutricola tantilla,species,Mollusca,Bivalvia,Venerida,Veneridae,Nutricola,1,1,0,1,1,0,0
Nymphon pixellae,species,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,6,5,5,6,5,5,5
Obelia,genus,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,293,127,90,214,79,53,53
Obelia geniculata,species,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,76,1,1,65,1,1,1
Ocinebrina,genus,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrina,610,0,0,347,0,0,0
Octobranchus,genus,Annelida,Polychaeta,Terebellida,Trichobranchidae,Octobranchus,18,0,0,5,0,0,0
Octopus,genus,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,1390,25,3,1364,25,3,3
Odontosyllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis,84,2,2,84,2,2,2
Odontosyllis phosphorea,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Odontosyllis,15,1,1,15,1,1,1
Odostomia,genus,Mollusca,Gastropoda,NA,Pyramidellidae,Odostomia,78,33,8,62,28,8,8
Oenopota,genus,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Oenopota,24,0,0,22,0,0,0
Oerstedia dorsalis,species,Nemertea,Hoplonemertea,Monostilifera,Oerstediidae,Oerstedia,83,0,0,83,0,0,0
Ogyrides,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Olea hansineensis,species,Mollusca,Gastropoda,NA,Limapontiidae,Olea,1,1,0,1,1,0,0
Onuphis,genus,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,30,19,9,15,4,4,4
Onuphis elegans,species,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,7,5,0,2,0,0,0
Onuphis iridescens,species,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis,6,6,1,1,1,1,1
Opalia funiculata,species,Mollusca,Gastropoda,NA,Epitoniidae,Opalia,3,3,3,1,1,1,1
Ophelia limacina,species,Annelida,Polychaeta,Opheliida,Opheliidae,Ophelia,1,0,0,1,0,0,0
Ophelina,genus,Annelida,Polychaeta,Opheliida,Opheliidae,Ophelina,41,5,3,33,3,1,1
Ophelina acuminata,species,Annelida,Polychaeta,Opheliida,Opheliidae,Ophelina,11,5,3,9,3,1,1
Ophiacantha,genus,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiacantha,473,1,0,442,0,0,0
Ophiactis simplex,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophiactidae,Ophiactis,45,2,2,45,2,2,2
Ophiodermella,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ophiodermella inermis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ophionereis annulata,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophionereididae,Ophionereis,1,0,0,1,0,0,0
Ophionereis eurybrachiplax,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophionereididae,Ophionereis,3,1,1,3,1,1,1
Ophiopteris papillosa,species,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiocomidae,Ophiopteris,13,3,3,13,3,3,3
Ophioscolex corynetes,species,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiomyxidae,Ophioscolex,2,0,0,2,0,0,0
Ophiosphalma jolliense,species,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiosphalma,6,0,0,6,0,0,0
Ophiura,genus,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,703,4,1,664,1,0,0
Ophiura luetkenii,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,19,0,0,19,0,0,0
Ophiura sarsii,species,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,171,1,0,163,0,0,0
Ophryotrocha,genus,Annelida,Polychaeta,Eunicida,Dorvilleidae,Ophryotrocha,307,57,0,307,57,0,0
Opisa tridentata,species,Arthropoda,Malacostraca,Amphipoda,Opisidae,Opisa,1,1,1,0,0,0,0
Opisthodonta,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Opisthodonta,1,1,0,1,1,0,0
Orbinia johnsoni,species,Annelida,Polychaeta,Polychaeta_incertae_sedis,Orbiniidae,Orbinia,10,10,10,10,10,10,10
Orchestia,genus,Arthropoda,Malacostraca,Amphipoda,Talitridae,Orchestia,470,25,0,460,23,0,0
Orchomene,genus,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomene,8,0,0,8,0,0,0
Orchomenella,genus,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomenella,121,0,0,121,0,0,0
Orchomenella decipiens,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Orchomenella pinguis,species,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomenella,11,0,0,11,0,0,0
Orthopagurus minimus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Ostrea,genus,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,363,41,0,307,41,0,0
Ostrea lurida,species,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,38,20,0,30,20,0,0
Owenia collaris,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Owenia johnsoni,species,Annelida,Polychaeta,Sabellida,Oweniidae,Owenia,3,3,0,2,2,0,0
Oxydromus pugettensis,species,Annelida,Polychaeta,Phyllodocida,Hesionidae,Oxydromus,34,4,0,33,4,0,0
Pachycerianthus,genus,Cnidaria,Anthozoa,Ceriantharia,Cerianthidae,Pachycerianthus,64,14,3,43,12,1,1
Pachygrapsus crassipes,species,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,193,40,39,185,40,39,39
Pachynus barnardi,species,Arthropoda,Malacostraca,Amphipoda,Pakynidae,Pachynus,2,2,2,0,0,0,0
Pachythyone rubra,species,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,1,1,0,1,1,0,0
Pacifacanthomysis nephrophthalma,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Paguristes,genus,Arthropoda,Malacostraca,Decapoda,Diogenidae,Paguristes,39,0,0,35,0,0,0
