FinalID,tax_rank,phylum,class,order,family,genus,BOLD_Records,BOLD_Records_USA,BOLD_Records_CA,BOLD_Records_COI,BOLD_Records_COI_USA,BOLD_Records_COI_CA,BOLD_Records_COI_SW
Sinum scopulosum,species,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Sinum,2,1,1,1,0,0,0
Sipunculus nudus,species,Annelida,Sipuncula,Golfingiida,Sipunculidae,Sipunculus,196,1,0,188,1,0,0
Skenea,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Solamen columbianum,species,Mollusca,Bivalvia,Mytilida,Mytilidae,Solamen,8,8,1,2,2,1,1
Solemya pervernicosa,species,Mollusca,Bivalvia,Solemyida,Solemyidae,Solemya,5,0,0,5,0,0,0
Solen,genus,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,112,4,1,94,2,1,1
Solen sicarius,species,Mollusca,Bivalvia,Adapedonta,Solenidae,Solen,4,4,1,2,2,1,1
Solenocera mutator,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Spatangus californicus,species,Echinodermata,Echinoidea,Spatangoida,Spatangidae,Spatangus,1,0,0,1,0,0,0
Spathoderma,genus,Mollusca,Caudofoveata,Chaetodermatida,Prochaetodermatidae,Spathoderma,2,0,0,1,0,0,0
Sphaerephesia,genus,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerephesia,3,0,0,0,0,0,0
Sphaerodoridium,genus,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoridium,4,0,0,4,0,0,0
Sphaerodoropsis,genus,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoropsis,32,0,0,32,0,0,0
Sphaerodoropsis minuta,species,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodoropsis,3,0,0,3,0,0,0
Sphaerodorum,genus,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,Sphaerodorum,19,0,0,18,0,0,0
Sphaerosyllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Sphaerosyllis,8,1,0,7,1,0,0
Sphaerosyllis ranunculus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Sphenia,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Sphenia fragilis,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tetracheledone spinicirrus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Spio,genus,Annelida,Polychaeta,Spionida,Spionidae,Spio,73,11,4,69,11,4,4
Spio filicornis,species,Annelida,Polychaeta,Spionida,Spionidae,Spio,2,0,0,2,0,0,0
Spiochaetopterus costarum,species,Annelida,Polychaeta,NA,Chaetopteridae,Spiochaetopterus,1,0,0,1,0,0,0
Spiophanes,genus,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,135,47,32,116,39,24,24
Spiophanes duplex,species,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,5,0,0,5,0,0,0
Spiophanes kimballi,species,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,7,7,7,7,7,7,7
Spiophanes norrisi,species,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,26,15,13,22,11,9,9
Spiophanes wigleyi,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Spirontocaris,genus,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Spirontocaris,102,4,0,102,4,0,0
Spirontocaris prionota,species,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Spirontocaris,2,2,0,2,2,0,0
Spirontocaris sica,species,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Spirontocaris,5,0,0,5,0,0,0
Spirontocaris snyderi,species,Arthropoda,Malacostraca,Decapoda,Hippolytidae,Spirontocaris,2,1,0,2,1,0,0
Spirontocaris truncata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Stachyptilum superbum,species,Cnidaria,Anthozoa,Pennatulacea,Stachyptilidae,Stachyptilum,2,0,0,0,0,0,0
Stenothoe frecanda,species,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Stenothoe,1,1,1,1,1,1,1
Stenothoe valida,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Stereobalanus,genus,Hemichordata,Enteropneusta,Enteropneusta_order_incertae_sedis,Harrimaniidae,Stereobalanus,3,0,0,3,0,0,0
Sternaspis affinis,species,Annelida,Polychaeta,Terebellida,Sternaspidae,Sternaspis,12,7,0,11,6,0,0
Sthenelais,genus,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais,44,9,3,44,9,3,3
Sthenelais berkeleyi,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais,1,1,0,1,1,0,0
Sthenelais tertiaglabra,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelais,5,5,2,5,5,2,2
Sthenelanella uniformis,species,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sthenelanella,8,7,7,7,6,6,6
Streblosoma,genus,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma,6,4,2,5,4,2,2
Streblosoma crassibranchia,species,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma,1,1,1,1,1,1,1
Streblosoma pacifica,species,Annelida,Polychaeta,Terebellida,Terebellidae,Streblosoma,1,1,0,1,1,0,0
Streblospio benedicti,species,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,54,12,0,54,12,0,0
Streptodonta,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Streptodonta,1,0,0,1,0,0,0
Streptosyllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Streptosyllis,3,0,0,3,0,0,0
Allocentrotus fragilis,species,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Allocentrotus,2,2,0,2,2,0,0
Styela,genus,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,415,51,2,397,47,2,2
Styela plicata,species,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Styela,124,21,2,116,21,2,2
Stylatula,genus,Cnidaria,Anthozoa,Pennatulacea,Virgulariidae,Stylatula,21,2,0,11,2,0,0
Stylatula elongata,species,Cnidaria,Anthozoa,Pennatulacea,Virgulariidae,Stylatula,18,2,0,9,2,0,0
Stylochoplana,genus,Platyhelminthes,Rhabditophora,Polycladida,Leptoplanidae,Stylochoplana,120,0,0,118,0,0,0
Stylochus,genus,Platyhelminthes,Rhabditophora,Polycladida,Stylochidae,Stylochus,2,1,0,2,1,0,0
Syllides,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllides,14,0,0,14,0,0,0
Syllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,189,24,0,174,19,0,0
Syllis gracilis,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,42,2,0,42,2,0,0
Syllis heterochaeta,species,Annelida,Polychaeta,Phyllodocida,Syllidae,Syllis,1,1,0,1,1,0,0
Syllis hyperioni,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Symplectoscyphus pedrensis,species,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Symplectoscyphus,1,1,1,1,1,1,1
Synidotea,genus,Arthropoda,Malacostraca,Isopoda,Idoteidae,Synidotea,21,3,0,21,3,0,0
Synidotea harfordi,species,Arthropoda,Malacostraca,Isopoda,Idoteidae,Synidotea,6,0,0,6,0,0,0
Syrrhoe,genus,Arthropoda,Malacostraca,Amphipoda,Synopiidae,Syrrhoe,7,0,0,7,0,0,0
Syrrhoe longifrons,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tagelus,genus,Mollusca,Bivalvia,Cardiida,Solecurtidae,Tagelus,41,13,0,41,13,0,0
Tagelus subteres,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tanaella propinquus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tanaopsis cadieni,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tanystylum californicum,species,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Tanystylum,3,0,0,3,0,0,0
Telesto,genus,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Telesto,1,0,0,1,0,0,0
Tellina,genus,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,66,54,35,23,18,7,7
Megangulus bodegensis,species,Mollusca,Bivalvia,Cardiida,Tellinidae,Megangulus,9,9,0,8,8,0,0
Ameritella carpenteri,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tellina nuculoides,species,Mollusca,Bivalvia,Cardiida,Tellinidae,Tellina,8,8,0,5,5,0,0
Tenellia adspersa,species,Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Tenellia,4,0,0,4,0,0,0
Tenonia priops,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Tenonia,2,2,2,1,1,1,1
Terebellides,genus,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,566,19,4,532,17,2,2
Terebellides californica,species,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,8,8,3,7,7,2,2
Terebellides reishi,species,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,5,5,1,4,4,0,0
Tetrastemma,genus,Nemertea,Hoplonemertea,Monostilifera,Tetrastemmatidae,Tetrastemma,152,26,0,135,22,0,0
Tetrastemma candidum,species,Nemertea,Hoplonemertea,Monostilifera,Tetrastemmatidae,Tetrastemma,6,0,0,6,0,0,0
Thalamoporella californica,species,Bryozoa,Gymnolaemata,Cheilostomatida,Thalamoporellidae,Thalamoporella,1,1,0,1,1,0,0
Thelepus,genus,Annelida,Polychaeta,Terebellida,Terebellidae,Thelepus,86,29,0,83,29,0,0
Thelepus hamatus,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Theora lubrica,species,Mollusca,Bivalvia,Cardiida,Semelidae,Theora,3,1,1,1,0,0,0
Thesea,genus,Cnidaria,Anthozoa,Alcyonacea,Paramuriceidae,Thesea,15,1,0,14,1,0,0
Thorlaksonius,genus,Arthropoda,Malacostraca,Amphipoda,Pleustidae,Thorlaksonius,2,0,0,0,0,0,0
Thracia,genus,Mollusca,Bivalvia,NA,Thraciidae,Thracia,22,0,0,19,0,0,0
Thracia trapezoides,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Thyasira flexuosa,species,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira,19,7,5,11,4,4,4
Thyone benti,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Thysanocardia nigra,species,Annelida,Sipuncula,Golfingiida,Golfingiidae,Thysanocardia,20,5,1,19,4,1,1
Timarete,genus,Annelida,Polychaeta,Terebellida,Cirratulidae,Timarete,121,6,0,119,6,0,0
Tiron biocellata,species,Arthropoda,Malacostraca,Amphipoda,Synopiidae,Tiron,1,1,1,1,1,1,1
Travisia,genus,Annelida,Polychaeta,Opheliida,Opheliidae,Travisia,108,9,3,11,1,0,0
Travisia brevis,species,Annelida,Polychaeta,Opheliida,Opheliidae,Travisia,7,7,3,0,0,0,0
Travisia pupa,species,Annelida,Polychaeta,Opheliida,Opheliidae,Travisia,6,1,0,4,0,0,0
Tresus nuttallii,species,Mollusca,Bivalvia,Venerida,Mactridae,Tresus,9,9,0,9,9,0,0
Trichobranchus hancocki,species,Annelida,Polychaeta,Terebellida,Trichobranchidae,Trichobranchus,2,2,0,2,2,0,0
Triopha maculata,species,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha,7,6,6,7,6,6,6
Tritella,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tritella pilimana,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tritia insculpta,species,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,2,0,0,2,0,0,0
Tritonia festiva,species,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,4,1,0,4,1,0,0
Tritonia tetraquetra,species,Mollusca,Gastropoda,Nudibranchia,Tritoniidae,Tritonia,5,0,0,5,0,0,0
Trophoniella,genus,Annelida,Polychaeta,Terebellida,Flabelligeridae,Trophoniella,6,0,0,6,0,0,0
Trophoniella harrisae,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Tubulanus,genus,Nemertea,Palaeonemertea,Tubulaniformes,Tubulanidae,Tubulanus,83,44,6,73,41,6,6
Tubulanus polymorphus,species,Nemertea,Palaeonemertea,Tubulaniformes,Tubulanidae,Tubulanus,8,4,4,8,4,4,4
Tubulipora tuba,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Turbonilla,genus,Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,22,15,1,20,14,1,1
Typhlotanais,genus,Arthropoda,Malacostraca,Tanaidacea,Typhlotanaidae,Typhlotanais,11,0,0,4,0,0,0
Typhlotanais williamsae,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Typosyllis,genus,Annelida,Polychaeta,Phyllodocida,Syllidae,Typosyllis,59,8,1,56,7,0,0
Upogebia,genus,Arthropoda,Malacostraca,Decapoda,Upogebiidae,Upogebia,290,1,0,264,1,0,0
Urechis caupo,species,Annelida,Polychaeta,Echiuroidea,Urechidae,Urechis,12,0,0,4,0,0,0
Uromunna ubiquita,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Urothoe elegans,species,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,3,0,0,3,0,0,0
Valettiopsis,genus,Arthropoda,Malacostraca,Amphipoda,Valettiopsidae,Valettiopsis,5,0,0,1,0,0,0
Vargula tsujii,species,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Vargula,43,41,0,43,41,0,0
Vaunthompsonia,genus,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Vaunthompsonia,1,0,0,1,0,0,0
Ruditapes philippinarum,species,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,687,1,0,670,1,0,0
Virgularia,genus,Cnidaria,Anthozoa,Pennatulacea,Virgulariidae,Virgularia,26,5,1,24,5,1,1
Vitreolina,genus,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Vitreolina,3,0,0,2,0,0,0
Vitreolina columbiana,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Volvarina taeniolata,species,Mollusca,Gastropoda,Neogastropoda,Marginellidae,Volvarina,10,10,10,2,2,2,2
Volvulella,genus,Mollusca,Gastropoda,Cephalaspidea,Rhizoridae,Volvulella,3,1,1,1,0,0,0
Volvulella californica,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Volvulella cylindrica,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Volvulella panamica,species,Mollusca,Gastropoda,Cephalaspidea,Rhizoridae,Volvulella,1,1,1,0,0,0,0
Watersipora subatra,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Westwoodilla tone,species,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Westwoodilla,5,1,1,5,1,1,1
Yoldia aeolica,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Yoldiella,genus,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella,48,0,0,47,0,0,0
Yoldiella nana,species,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella,2,0,0,2,0,0,0
Ypsilothuria bitentaculata,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Zaolutus actius,species,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
Zeuxo,genus,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Zeuxo,39,16,16,39,16,16,16
Zeuxo normani,species,Arthropoda,Malacostraca,Tanaidacea,Tanaididae,Zeuxo,1,0,0,1,0,0,0
Amathia verticillata,species,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,2,0,0,2,0,0,0
Zygeupolia rubens,species,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Zygeupolia,11,2,0,4,2,0,0
Zygonemertes virescens,species,Nemertea,Hoplonemertea,Monostilifera,Amphiporidae,Zygonemertes,3,0,0,3,0,0,0
Pseudharpinia,genus,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
