ProjectShortCode,taxserial,CommonName,SCINAME,Kingdom,Class,Phylum,Family,Order,Genus,Species
NC_ROV,157256,Giant spined star,Pisaster giganteus,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Pisaster,giganteus
NC_ROV,157270,Rainbow star,Orthasterias koehleri,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Orthasterias,koehleri
NC_ROV,157272,Fish eating star,Stylasterias forreri,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Stylasterias,forreri
NC_ROV,157274,Sunflower star,Pycnopodia helianthoides,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Pycnopodia,helianthoides
NC_ROV,157299,Long legged sunflower star,Rathbunaster californicus,Animalia,Asteroidea,Echinodermata,Asteriidae,Forcipulatida,Rathbunaster,californicus
NC_ROV,157325,UI brittle stars,Unidentified brittle stars,Animalia,Ophiuroidea,Echinodermata,NA,NA,NA,NA
NC_ROV,157360,Basket star,Gorgonocephalus eucnemis,Animalia,Ophiuroidea,Echinodermata,Gorgonocephalidae,Phrynophiurida,Gorgonocephalus,eucnemis
NC_ROV,157971,Red sea urchin,Mesocentrotus franciscanus,Animalia,Echinoidea,Echinodermata,Strongylocentrotidae,Echinoida,Mesocentrotus,franciscanus
NC_ROV,157975,Purple sea urchin,Strongylocentrotus purpuratus,Animalia,Echinoidea,Echinodermata,Strongylocentrotidae,Echinoida,Strongylocentrotus,purpuratus
NC_ROV,158204,Orange sea cucumber,Cucumaria miniata,Animalia,Holothuroidea,Echinodermata,Cucumariidae,Dandrochirotida,Cucumaria,miniata
NC_ROV,158206,White branched sea cucumber,Cucumaria piperata,Animalia,Holothuroidea,Echinodermata,Cucumariidae,Dandrochirotida,Cucumaria,piperata
NC_ROV,158344,California sea cucumber,Parastichopus californicus,Animalia,Holothuroidea,Echinodermata,Stichopodidae,Aspidochirotida,Parastichopus,californicus
NC_ROV,158541,Feather stars,Florometra serratissima,Animalia,Crinoidea,Echinodermata,Antedonidae,Comatulida,Florometra,serratissima
NC_ROV,159318,Stalked tunicate,Styela montereyensis,Animalia,Ascidiacea,Chordata,Styelidae,Stolidobranchia,Styela,montereyensis
NC_ROV,557227,Giant Pacific octopus,Enteroctopus dofleini,Animalia,Cephalopoda,Mollusca,Octopodidae,Octopoda,Enteroctopus,dofleini
NC_ROV,611773,White-plumed anemone,Metridium farcimen,Animalia,Anthozoa,Cnidaria,Metridiidae,Actiniaria,Metridium,farcimen
NC_ROV,611869,Fish eating anemone,Urticina piscivora,Animalia,Anthozoa,Cnidaria,Actiniidae,Actiniaria,Urticina,piscivora
NC_ROV,611870,Sand-rose anemone     ,Urticina columbiana,Animalia,Anthozoa,Cnidaria,Actiniidae,Actiniaria,Urticina,columbiana
NC_ROV,656266,Acorn barnacle,Balanus nubilus,Animalia,Maxillopoda,Arthropoda,Balanidae,Sessilia,Balanus,nubilus
NC_ROV,719219,Short red gorgonian,Swiftia spauldingi,Animalia,Anthozoa,Cnidaria,Plexauridae,Alcyonacea,Swiftia,spauldingi
NC_ROV,719252,Sea whip,Halipteris californica,Animalia,Anthozoa,Cnidaria,Halipteridae,Pennatulacea,Halipteris,californica
NC_ROV,948935,Slipper sea cucumber,Psolus chitonoides,Animalia,Holothuroidea,Echinodermata,Psolidae,Dandrochirotida,Psolus,chitonoides
