NC_project_short_code,final_classification,preliminary_classification,class_code,kingdom,phylum_division,class,order,family,genus,species
NC_RockyIt,aplidium californicum/solidum,aplidium californicum,46,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,californicum/solidum
NC_RockyIt,aplidium californicum/solidum,aplidium californicum/solidum,47,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,californicum/solidum
NC_RockyIt,aplidium californicum/solidum,aplidium californicum/solidum,47,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,californicum/solidum
NC_RockyIt,aplidium californicum/solidum,aplidium californicum/solidum,47,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,californicum/solidum
NC_RockyIt,aplidium californicum/solidum,aplidium solidum,48,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Aplidium,californicum/solidum
NC_RockyIt,aplysia californica,aplysia californica,49,Animalia,Mollusca,Gastropoda,Anaspidea,Aplysiidae,Aplysia,californica
NC_RockyIt,aplysina fistularis,aplysina fistularis,50,Animalia,Porifera,Demospongiae,Verongida,Aplysinidae,Aplysina,fistularis
NC_RockyIt,eudistoma psammion,archidistoma psammion,51,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,psammion
NC_RockyIt,eudistoma psammion,archidistoma psammion,51,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,psammion
NC_RockyIt,archidistoma ritteri,archidistoma ritteri,52,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Archidistoma,ritteri
NC_RockyIt,archidistoma ritteri,archidistoma ritteri,52,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Archidistoma,ritteri
NC_RockyIt,archidoris montereyensis,archidoris montereyensis,53,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Archidoris,montereyensis
NC_RockyIt,patiria miniata,asterina miniata,54,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,miniata
NC_RockyIt,balanophyllia elegans,balanophyllia elegans,55,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,elegans
NC_RockyIt,balanus crenatus,balanus crenatus,56,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,crenatus
NC_RockyIt,balanus glandula,balanus glandula,57,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula
NC_RockyIt,balanus glandula,balanus glandula,57,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,glandula
NC_RockyIt,balanus nubilus,balanus nubilus,58,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,nubilus
NC_RockyIt,bangia spp,bangia spp,59,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,spp
NC_RockyIt,bangia spp,bangia spp,59,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,spp
NC_RockyIt,bangia spp,bangia spp,59,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,spp
NC_RockyIt,bangia spp,bangia spp,59,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Bangia,spp
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium eschrichtii,bittium eschrichtii,60,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,eschrichtii
NC_RockyIt,bittium munitum,bittium munitum,61,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiidae,Bittium,munitum
NC_RockyIt,blidingia subsalsa,blidingia minima,62,Plantae,Chlorophyta,Ulvophyceae,Ulvales,Kornmanniaceae,Blidingia,subsalsa
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,blue green algae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,blue green algae/callothrix,bluegreenalgae,63,Bacteria,,,,,,
NC_RockyIt,derbesia marina,derbesia marina,64,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Derbesiaceae,Derbesia,marina
NC_RockyIt,boringclam,boringclam,65,Animalia,Mollusca,Bivalvia,,,,
NC_RockyIt,boringclam,boringclam,65,Animalia,Mollusca,Bivalvia,,,,
NC_RockyIt,bossiella spp,bossiella spp,66,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,spp
NC_RockyIt,bossiella spp,bossiella spp,66,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,spp
NC_RockyIt,bossiella spp,bossiella spp bleached,67,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,spp
NC_RockyIt,botryllus spp,botryllus spp,68,Animalia,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botryllus,spp
NC_RockyIt,septifer bifurcatus/brachydontes adamsianus,brachidontes/septifer spp,69,Animalia,,,,,,
NC_RockyIt,septifer bifurcatus/brachydontes adamsianus,brachidontes/septifer spp,69,Animalia,,,,,,
NC_RockyIt,septifer bifurcatus/brachydontes adamsianus,brachidontes/septifer spp,69,Animalia,,,,,,
NC_RockyIt,septifer bifurcatus/brachydontes adamsianus,septifer bifurcatus,70,Animalia,,,,,,
NC_RockyIt,bryopsis spp,bryopsis corticulans,71,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,spp
NC_RockyIt,bryopsis spp,bryopsis spp,72,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Bryopsidaceae,Bryopsis,spp
NC_RockyIt,bugula spp,bugula spp,73,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,spp
NC_RockyIt,bugula spp,bugula spp,73,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,spp
